,reviews
0, my family flew from washington to london on a british airways a we were able to secure seats on the upper deck for a pretty hefty fee our flight was unfortunately delayed by hrs from to causing us to miss a connection from gatwick to turin and making it so that no lounges were open by the time we got to the airport onboard i sat in a window seat which had a nice luggage bin which was very convenient for all my stuff in flight entertainment system didn t work very well the touchscreen was disabled and the controller was quite glitchy and hard to use it could use updating the food for dinner was decent they had pasta with tomato sauce which tasted good by airline standards the seat was pretty comfortable and the flight was smooth after we missed our connection and we re stuck behind security for hrs waiting for escorts they rebooked us on a flight from heathrow to milan the next day gave us free bus tickets to heathrow gave us a free hotel room and gave us dinner and breakfast vouchers great customer service 
1, easy check in a t galleries south and north lounges packed only just able to get a seat didn t stay long as b gates lounge much quieter flight boarded smoothly and on time a upper deck old club world seating which is beginning to age a little however like the large toilets on this aircraft type cabin crew were all fantastic one family had tech issues with their seats and entertainment systems which crew worked hard on though sadly without success food and drink options were all very good entertainment was good overall an enjoyable flight 
2, flight delayed by an hour it happens no biggie had us change our gate at the airport never happened before but i guess it s ok gate agent asked us to check our bags and after telling him we would prefer not to do that he did it anyway second gate agent reassigned our seats from exit row to regular which is a huge squeeze my for travel bud 
3, the staff are very rude and not trained properly no exceptions are made for children and elderly people the price of the ticket is very expensive given the distance and the service is extremely extremely poor
4, good domestic flight operated by ba cityflyer ground service at check in edinburgh airport was particularly friendly and helpful the flight departed on time and arrived earlier than scheduled a complimentary drink and snack albeit tiny were served generally it seems that the quality of the cityflyer subsidiary is superior to the mainline british airways flights 
5, failed at all basic travel fundamentals our flight was delayed staff demanded that we check in our carry on luggage even though we met our carry on allowance the fact that we have a tight bus connection was totally ignored staff were quite unpleasant 
6, they lost my baggage in a very simple situation it s been three weeks and they don t care no communication whatsoever i was at the connection checkpoint at heathrow hrs before my connecting flight the last leg of my trip an agent insists on checking in my hand luggage since my plane is full and then they lose it i claim it at the arrival airport immediately now it s been three weeks no communication whatsoever the online status is still searching for your bag with no updates my conclusion is that the ba males no effort to find my missing bag and they don t care 
7, late boarding led to a one hour flight leaving two hours late a single ba staff member turned up to board a full flight shortly before the flight was due to depart there had been no previous announcement of the delay once on board the captain blamed frankfurt ground staff for delaying takeoff when clearly late boarding had resulted in a missed departure slot 
8, as usual the flight is delayed ba try to blame someone for the inability and incapacity of delivering what they sell why don t you hire enough personnel to fulfil your staff demand 
9, i had the most fantastic ba flight today the cabin crew in my seat zone d were of the best i have experienced although the had the old style rear front seating it was comfortable and felt open and spacious ba have done great things with the menu it was nice not to have to eat breakfast food on the pre arrival meal into hkg at pm local time having left london at the night before the dinner offering was equally ample and delicious the inflight entertainment had a great collection of tv and current films and the inflight map was first rate previously not a huge ba fan but after this hour flight i could only recommend it without reserve i flew the new ba suite in j class on a recent delhi to london flight and enjoyed that product although i felt it slightly more cramped but i think ba have stepped up with really comfortable bedding and food and very friendly crew who engaged throughout the flight in the best way couldn t recommend ba more on this flight today
10, couldn t book in online arrived at check in to find we had been bumped off due to overselling no ba staff available very helpful gatwick staff got us a bus to lhr and a flight to toulouse had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight airlines should be legally stopped from selling seats twice 
11, london heathrow to mumbai in a boeing in business class the lounge near terminal gate b at heathrow was outstanding in its service and offerings it provides us just the right frame to relax in before boarding as the departure was delayed by almost hours the on our flight featured the older club world seating not the best in class but comfortable enough i hear that the new club suites configuration is far superior british airways onboard service was outstanding in every respect all in all a very comfortable flight one minor irritant for some reason this aircraft was not fitted with wifi we got into mumbai at am a civilized time to arrive 
12, keflav k iceland to london heathrow on an a in business class the journey got off on an unpleasant note the business class line at keflav k was so long that it looked like an economy class check in it took over mins to get through there was no lounge access offered the boarding process was well handled british airways business class seats for the club europe product are terrible exactly the same as economy with the middle seat left vacant you don t even get extra pitch what made the overall product tolerable were the good onboard service and the inflight wifi also the fact that the flight leaves at a convenient mid morning time of am 
13, terrible experience with british airways i booked a flight with ba to travel from gibraltar to london heathrow on may my flight was scheduled to leave at p m in the afternoon i had originally planned on leaving my luggage at heathrow upon arrival and travelling to visit and overnight at my cousin s place en route to gib airport a few hours prior to departure i checked my flight details and found out that my flight had been cancelled i had a connecting flight booked with westjet from london heathrow to vancouver the following day and i had to make that flight so it was imperative that i got to london i checked the ba website and couldn t find any other flights with them that would work so unfortunately i made the mistake of requesting a refund i managed to find a flight out of malaga that got me into london just after p m so i booked that and then called british airways as i wanted to discuss compensation that s when they advised me that because i had requested a refund they used the phrase abandoned travel with them they were not prepared to do anything for me apparently i should have called them first and then they would have made the arrangements of course they don t explain that on their website they just ask if you want a refund and then proceed and even when i plead my case with the agent at malaga airport and then followed up with customer relations several times via email they flat out refused to budge i had used a travel voucher to cover the cost of my flight and had used avios to cover the cost of my checked baggage so in other words no out of pocket costs for the trip once this incident happened i ended up spending euros in airfare and checked baggage charges to get to london from malaga i e different airport than the one i had originally booked from and because the luggage storage facility at heathrow had closed by the time i eventually arrived i ended up booking a night at a hotel since i couldn t travel by train to my cousin s place any longer bags in tow and i didn t want to put him out and have him drive to the airport to pick me up this cost me another in room and meal costs all ba ended up doing to compensate me was to give me free avios a mere pittance compared to my out of pocket expenses despite trying to explain to them why i requested the refund instead of calling them first they wouldn t budge very easy for them to say what i should have done since they work there and know the rules and they weren t the ones scrambling to find alternative travel arrangements within a few hours i pointed out that on their website they should simply instruct customers to call them when this situation happens and that way they would never encounter this problem my feeling is that they put the refund option out there in the hope that customers will make the mistake i did so they can then wash their hands of the situation and ultimately save money i ve been an executive club member for years and they simply didn t care they said there was nothing they could do i m sure if one of the ba executive s friends or family members had gone through this staff there would have been given the instruction to make things right i used to be a fan of ba but they have really gone downhill in my opinion once i used up my remaining avios and travel credit i will cancel my executive club membership and never fly with them again 
14, an airline that lives in their past glory and heading a future of crisis is british airways i am not joking we are a family of all in business class heading for a norwegian and arctic cruise and they lost of our bags they will never see me on any of their flights ever a disaster of an airline
15, check in desk rude and dismissive flight late but seems the new norm one world emerald club world check in staff uncommunicative did not know what baggage allowance entitled to once raised politely became argumentative and accusatory 
16, i chose british airways especially because i was going to travel with my niece and nephew and wanted everything to work well what a disaster first it took me two hours to do the check in online due to a technical problem i also had to spend more than minutes in a call to a uk number from my spanish cell phone because that s the only service they provide on weekends then at the airport when there was the boarding time we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on they just told us to wait finally we could access the plane after minutes inside they told us to leave the plane again and told us the flight had been cancelled we had to take our luggage and queue again for a couple of hours then do the check in again and wait for another flight to take off which was again delayed we spent almost hours at the airport no information was provided no solutions were offered we had to seat in the last raw when i had paid to seat on the first half of the plane no money was refunded no apologizes or compensation was given i also had pre purchased food and they couldn t provide the service all in all terrible never again 
17, i booked premium economy from inv to lax via lhr they notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for then they cancelled a flight on my journey to lax they then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on the flight that i have no chance of making as my return flight arrives too late into lhr they re routed me from lax to jfk to lhr which i would have accepted but they booked the journey in economy lax to jfk which my husband with a knee injury cannot do and now they won t change it even though they have a direct flight from lax to lhr with premium economy and unacceptable flight allows us mins to transfer flights at jfk and my husband won t be able to walk slowly let alone quickly after enduring the hour flight from lax to lhr i have chatted only to have my calls disconnected and i also have online chat which proves i did not accept this re routed flight to jfk but they won t budge 
18, a simple story with an unfortunate outcome that really could happen to anyone my partner and i recently started working after studying purchased two tickets to travel from london city airport to frankfurt when we purchased the tickets i mistakenly entered my name twice e g mr john smith and ms john smith little did we know that our simple mistake would cost us over pounds upon arriving at the airport we were told there was no way to change the name apparently they can only change letters where there has been a typo and i had no other option to purchase the last remaining ticket if i wanted to board the flight the price almost seven times higher than my original ticket zero empathy was shown zero alternative was offered trusting ba s staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket immediately after i purchased the ticket i contacted ba s commercial change booking team and informed them of our situation the service representative apologised and told me they could have changed the name at the cost of a small fee he offered to cancel my original ticket and issue me a partial refund then advising me that i had a claim to the difference and i should contact customer support to do so i told this person several times i wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer i would be denied from claiming the cost of the new ticket he said no i could claim the difference fair enough we accepted this offer and lodged a ticket with customer support for the difference two days later british airways customer response informed us that we were unable to lodge a claim because we had voluntarily accepted the cancellation before the flight they ve continued to send generic emails until this week when they just stopped responding so in short british airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund it keeps me up at night thinking how they can do this and get away with it so easily 
19, flight was delayed due to the inbound flight arriving late there was no announcement to inform of the delay nor were the sceens updated when ready to board we were requested to take our seats quickly to help reduce the delay which people did the pilot then announced he had received the documents for the wrong flight from ground staff so we had to wait while they returned to get the right paperwork after this was resolved the pilot announced there would be a delay as there was only two push back tractors and we had to wait again so after rushing to sit quickly we sat the the aircraft at the gate for nearly one hour which is longer than the flight takes of course ams is not bas home base and it uses contracted staff here but it should require a better level of service it was embarrassing hearing the pilot apologise at every step of the way it ll be eurostar for me next time 
20, fast and friendly check in total contrast to gatwick the contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine food best avoided on board great crew and dinner was actually good quality and substantial apart from the chocolate and orange pot that seems to appear on every flight have they bought up the global stock the crew were always ready to top up drinks although white wine and beers were lukewarm the crew explained that the carts are supposed to be chilled from experience they rarely are is dry ice so expensive that ba can t afford it 
21, i don t understand why british airways is classified as a star airline the service is really mediocre the food is untasty and insufficient for a long haul trip some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience this really is all about getting from point a to b without what it used to be an enjoyable trip making experience the inflight entertainment is fairly good but you do need to bring your own water not to get dehydrated some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold personality less experience 
22, i m sure that ba have gradually made their economy experience ba euroflyer out of gatwick so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class long wait at the biz checkin due to status and dealt with by a bored agent ok third party but still representing ba who hardly spoke and avoided eye contact and was more focussed on her fingernails lounge was crowded and grubby but at least the staff there are pleasant and helpful on board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the free water which on gatwick services consists of a half full plastic cup rather than the luxury of a small bottle a fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on easyjet who do two service runs etc 
23, customer service does not exist one world emerald frequent long haul flyer including ba never seen such poor customer service or computer says no official ba com site said all morning and afternoon that flight from gatwick delayed hours delayed leaving for airport only for ba to change back to original time called ba customer service hours prior from highway saying situation told not to worry would note and flight rebooked if issue but go to airport got to airport mins prior told could not board and that staff did not work for ba so could not help back on phone hours in total to be told could be rebooked then couldn t be round and round ultimately told to file complaint then found out flight left hours delayed paid for extra hotels flights with more competent airlines and now told days wait for complaints to be responded to heavens help economy and non status flyers if that s what the front end of the plane gets 
24, another really great pair of flights on time no problems at all champagne was ok and my meal choices were great the new club suite is a good improvement over the previous seat in flight entertainment could have been better can t wait to fly with ba again and enjoy another great experience 
25, our a developed a fault taxiing to the runway we returned to the gate only to then have the flight cancelled about hours later due to a technical fault all the while ba staff were virtually non existent it was finally the captain who announced the flight was cancelled ba provided an alternative the next day involving a connection but it was very much take this or else you were on your own no arrangements or help made with overnight accommodation or transport finally managed to get the legal minimum compensation out of ba for the hour delay they caused to my journey and expenses were reimbursed too but even this took four weeks the fact that as a business class customer ba pays the minimum they can get away with says it all they couldn t care less about customers have no interest in loyalty and aren t bothered about your business given its our flights that pay ba s way i d suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers not recommended 
26, horrible airline does not care about their customers used to be decent but has now since really fell off a flight time of hours and mins but no meal while the flight attendants were having their eggs and sausage in the back didn t even offer juices i would stick with another airline 
